token,bias,pos
formal,0.5652368949468705,ADJ
context,0.5831879978652849,NOUN
free,0.6024122209663787,ADJ
grammar,-0.6030312631501695,NOUN
certain,0.9890114429179995,ADJ
type,0.8173263850562297,NOUN
set,0.7812854888690899,NOUN
describe,0.6544784886008795,VERB
possible,0.8864583607464654,ADJ
string,-0.3236124020197664,NOUN
given,0.6920299990943907,VERB
language,0.8889897746576302,NOUN
simple,0.9248558976861587,ADJ
replacement,-0.9208314922594969,NOUN
example,0.8595181870921046,NOUN
rule,0.6151269123175724,NOUN
replaces,-0.9695061643357445,VERB
multiple,0.9171307851143351,ADJ
value,0.8557002514852561,NOUN
mean,0.9441095087272373,VERB
replaced,0.6420599965951066,VERB
many,0.8251487586965104,ADJ
none,0.6906438492791831,NOUN
applied,0.9634487222270414,VERB
regardless,0.14686351589594038,ADV
left,0.9149393256642046,ADJ
always,0.6799253945469848,ADV
symbol,-0.21932790442755734,NOUN
appear,0.7002357525728622,VERB
resulting,0.681350618369353,VERB
case,0.8166101342456445,NOUN
contains,0.8294753276497357,VERB
letter,0.6686513305146529,NOUN
also,0.7666694313635443,ADV
reverse,0.02247232088057749,NOUN
check,0.664477336256055,VERB
grammatically,-0.9864942896430844,ADV
correct,0.45458825671157455,ADJ
according,0.7348630953237387,VERB
describes,0.33275286447682484,VERB
containing,0.588582236389699,VERB
start,0.9868260232754105,VERB
use,0.8551673705859124,VERB
turn,0.9927055021163342,VERB
aa,-0.5154595121481675,NOUN
apply,0.9166176001996136,VERB
later,0.9247523362578974,ADJ
first,0.9586699405327156,ADJ
get,0.4910641603581807,VERB
second,0.9323252863081649,ADJ
terminal,0.9216955371091002,ADJ
never,0.6737852169744771,ADV
process,0.880620753537424,NOUN
used,0.9722183902930331,VERB
applying,0.4896430347137787,VERB
last,0.8999948663199949,ADJ
different,0.6846697656780424,ADJ
order,0.40029286289641164,NOUN
within,0.798199022626895,ADP
generated,0.6562597357458766,VERB
known,0.7524640631062574,VERB
generate,0.15692411885357238,VERB
important,0.3572609108247141,ADJ
distinguish,-0.20859359869667338,VERB
property,0.8205978733815016,NOUN
intrinsic,-0.3389002074205685,ADJ
particular,0.9349691410331845,ADJ
extrinsic,-0.9560501973803499,ADJ
arise,-0.25450967884122067,VERB
linguistics,-0.9294485944631412,NOUN
structure,0.8568243769908416,NOUN
sentence,-0.14703840037808158,NOUN
word,0.926930270543102,NOUN
natural,0.7389137909521459,ADJ
fact,0.9462442531627548,NOUN
invented,-0.4069775382086691,VERB
linguist,-0.8638084077166088,NOUN
purpose,0.795662674415248,NOUN
really,0.32553097989595703,ADV
lived,0.6225102038731674,VERB
original,0.8305354014600388,ADJ
expectation,-0.6623785327603384,NOUN
contrast,0.4240278609844884,NOUN
defined,0.8162903821532914,VERB
concept,-0.03872063619019528,NOUN
increased,0.8361326057811422,VERB
early,0.914133721619945,ADJ
application,0.9132414846842816,NOUN
newer,-0.5811562254873375,ADJ
essential,0.5561367730091382,ADJ
part,0.8106602275392297,NOUN
markup,-0.6396401456059555,ADJ
xml,-0.9567313428216326,NOUN
called,0.8019124193664846,VERB
author,0.6892464883564359,NOUN
refer,-0.05010028718702464,VERB
whereby,-0.5222294195154045,ADV
distinct,0.03651757756421847,ADJ
popular,0.9056693589801568,ADJ
notation,-0.7563864016000523,NOUN
form,0.8119889675337897,NOUN
bnf,-0.927184704428007,ADJ
background,0.47053619850339556,NOUN
time,0.9813123973488431,NOUN
least,0.9976710732863469,ADJ
described,0.8917464705932026,VERB
term,0.9216616918117585,NOUN
built,0.689232874868709,VERB
smaller,0.9772380738991228,ADJ
phrase,-0.5890925590936502,NOUN
eventually,0.5217752465601397,ADV
individual,0.8930465940002398,ADJ
logical,-0.39146108274064817,ADJ
unit,0.2868551554748848,NOUN
overlap,-0.4850865491811689,VERB
blue,0.9531015323888303,ADJ
car,0.8431283722150864,NOUN
garage,-0.5155966833463015,NOUN
walked,0.22967092303748593,VERB
logically,-0.9056237661982647,ADV
follows,0.6081002800087734,VERB
provides,0.8869640617758492,VERB
mathematically,-0.9167118341880718,ADV
precise,0.11002306283231578,ADJ
mechanism,0.6222150172958647,NOUN
describing,-0.10567308778480844,VERB
method,0.6780161146696635,NOUN
block,0.05441794786574072,NOUN
capturing,-0.591385089269054,VERB
way,0.6167711766864111,NOUN
simplicity,-0.3345328686624034,NOUN
make,0.8364999815277925,VERB
